name,rate,min,fee,aum
Nabo KES Money Market Fund,13.74,100K,2.25,6.2B
Cytonn Money Market Fund,11.72,1K,2.00,2.0B
Etica Money Market Fund,10.67,100,2.00,12.5B
Lofty Corban Money Market Fund,10.61,1K,2.00,4.4B
Madison Money Market Fund,10.43,5K,0.00,6.3B
Kuza Money Market Fund,10.35,5K,2.00,2.4B
Faulu Money Market Fund,10.25,1K,1.50,305M
Arvocap Money Market Fund,10.10,3K,2.00,550M
Old Mutual Money Market Fund,10.07,1K,2.00,24.3B
Jubilee Money Market Fund,10.03,5K,2.00,11.6B
Orient Kasha Money Market Fund,9.92,1K,2.00,497M
Britam Money Market Fund,9.86,1K,2.00,14.8B
GenAfrica Money Market Fund,9.62,500K,2.00,4.9B
KCB Money Market Fund,9.47,5K,2.00,17.7B
Apollo Money Market Fund,9.14,1K,2.00,4.1B
Dry Associates Money Market Fund,8.76,1M,2.00,4.1B
SanlamAllianz Money Market Fund,8.74,2.5K,2.00,114.2B
GenCap Hela Money Market Fund,8.63,500,2.00,589M
CIC Money Market Fund,8.43,5K,2.00,78.9B
ICEA LION Money Market Fund,8.02,500,2.00,20.4B
CPF Money Market Fund,8.02,1K,3.00,3.3B
Co-op Money Market Fund,7.92,500,0.90,21.6B
Ziidi Money Market Fund,7.00,100,2.00,2.3B
NCBA Fixed Income Fund,6.84,1K,2.00,10.5B
AA Kenya Money Market Fund,6.19,100K,2.00,
Stanbic Money Market Fund,5.22,1K,2.00,2.3B
EIB Money Market Fund,5.20,1K,2.00,1.5B
